Top queries,Clicks,Impressions,CTR,Position
burger baltimore,1,24,4.17%,11.42
chicken place near me,1,24,4.17%,26.88
manassas park,1,24,4.17%,53.12
restaurants short pump,1,23,4.35%,4.83
nash restaurant menu,1,23,4.35%,6.61
best wings near me,1,23,4.35%,6.83
hot dog,1,23,4.35%,7.74
food near me norfolk va,1,23,4.35%,10.3
best fried chicken baltimore,1,23,4.35%,18.96
burgers near,1,23,4.35%,28.26
good fast food near me,1,22,4.55%,2.09
cornbread near me,1,22,4.55%,6.59
smash burger dumfries,1,22,4.55%,7.5
best fried chicken woodbridge va,1,22,4.55%,8.41
best burgers montclair,1,22,4.55%,11.55
burgers near me now,1,22,4.55%,13.36
herndon restaurants,1,22,4.55%,17.55
nando's peri peri,1,21,4.76%,4.86
nash burger menu,1,21,4.76%,4.95
good smash burgers near me,1,21,4.76%,8.19
best burger in maryland,1,21,4.76%,10.38
halal restaurant baltimore,1,21,4.76%,10.76
restaurants in white oak md,1,21,4.76%,12.1
glen allen virginia restaurants,1,21,4.76%,23.14
nash and smashed silver spring menu,1,20,5%,3.65
delivery restaurants near me,1,20,5%,4.5
sweet potato fries near me,1,20,5%,7.15
burger warrenton va,1,20,5%,7.3
dine-in food,1,20,5%,9.85
baltimore burgers,1,20,5%,11.6
halal restaurant in virginia,1,20,5%,14.75
nash & smashed manassas park menu,1,19,5.26%,3.16
grilled chicken sandwich near me,1,19,5.26%,5.21
spicy chicken sandwich,1,19,5.26%,6.63
smash and,1,19,5.26%,8.74
sliders near me,1,18,5.56%,3.44
food in short pump va,1,18,5.56%,3.67
grilled cheese near me,1,18,5.56%,6
smash burger fairfax va,1,18,5.56%,7.11
best burger in woodbridge va,1,18,5.56%,7.44
restaurants near friendship heights,1,18,5.56%,8.78
fast food short pump,1,18,5.56%,10.61
halal nashville hot chicken near me,1,18,5.56%,11.83
restaurants in manassas park va,1,18,5.56%,13
dessert,1,17,5.88%,5.35
kid friendly restaurants near me,1,17,5.88%,7
smashed restaurant near me,1,17,5.88%,8.29
carryout near me,1,17,5.88%,8.41
buffalo wings near me,1,17,5.88%,8.65
monarch way restaurants,1,17,5.88%,9.06
best burgers nashville,1,17,5.88%,13.94
burger newport news,1,17,5.88%,16.82
restaurants in fed hill,1,17,5.88%,17.82
restaurants in old town manassas,1,17,5.88%,30.47
new restaurants catonsville,1,16,6.25%,1.12
salads near me,1,16,6.25%,2.44
nash and bash,1,16,6.25%,3.56
best fried chicken,1,16,6.25%,4.75
hamburgers,1,16,6.25%,6.12
fried chicken chelmsford,1,16,6.25%,6.88
fast food baltimore md,1,16,6.25%,7.94
restaurants hampton blvd norfolk va,1,16,6.25%,9.44
burger places in norfolk,1,16,6.25%,9.69
federal hill food,1,16,6.25%,16.25
peri peri halal,1,16,6.25%,20.88
impossible burger near me,1,16,6.25%,35.88
peri peri original x kallisto steakhouse,1,15,6.67%,1
new restaurant near me,1,15,6.67%,2.2
onion rings,1,15,6.67%,4
food by me,1,15,6.67%,6.53
restaurants in innsbrook va,1,15,6.67%,6.8
best chicken wings near me,1,15,6.67%,7.87
best burger in bethesda,1,15,6.67%,11.67
smash birger,1,15,6.67%,15.67
in and out burger near me,1,15,6.67%,15.8
chicken smash,1,15,6.67%,27.8
"restaurants near glen allen, va",1,14,7.14%,2.71
peri peri ellicott city md,1,14,7.14%,3.07
best burger short pump,1,14,7.14%,3.71
new food near me,1,14,7.14%,4.5
chicken nuggets near me,1,14,7.14%,5.43
restaurants open now,1,14,7.14%,7.64
nashville halal fried chicken,1,14,7.14%,9.29
"food near me hampton, va",1,14,7.14%,9.71
best chicken near me,1,14,7.14%,9.86
best hamburger richmond va,1,14,7.14%,12.64
restaurants peninsula town center,1,14,7.14%,13.21
restaurants woodbridge va,1,14,7.14%,37.93
restaurants in silver spring,1,14,7.14%,59.86
places to.eat near me,1,13,7.69%,4.54
shakes near me,1,13,7.69%,5.62
waffle,1,13,7.69%,6.69
best smash burger in maryland,1,13,7.69%,7.15
smash n,1,13,7.69%,7.23
restaurants open late,1,13,7.69%,7.92
peri peri restaurant,1,13,7.69%,8.08
food norfolk va,1,13,7.69%,8.92
smashburger places near me,1,13,7.69%,12.08
hot chicken alexandria va,1,13,7.69%,12.92
best burgers columbia md,1,13,7.69%,13.54
"restaurants in hampton, va near coliseum",1,13,7.69%,18.46
smashed food,1,13,7.69%,28.23
restaurants hampton va,1,13,7.69%,52.69
takeout restaurant near me,1,12,8.33%,2.25
restaurants innsbrook,1,12,8.33%,2.42
cheeseburger sub near me,1,12,8.33%,3.5
fast food open now near me,1,12,8.33%,4.75
grilled chicken near me,1,12,8.33%,5.33
smash restaurant near me,1,12,8.33%,8
manassas halal food,1,12,8.33%,8.75
restaurants connecticut ave dc,1,12,8.33%,10.17
restaurants near odu campus,1,12,8.33%,10.17
smash patties near me,1,12,8.33%,16.08
food near me ellicott city,1,12,8.33%,17.83
best burger in dc,1,12,8.33%,23.17
fast food burgers near me,1,12,8.33%,26.42
restaurants glen allen virginia,1,12,8.33%,36.42
burger joints,1,12,8.33%,48
nash & mash,1,11,9.09%,1.27
burger and wings near me,1,11,9.09%,1.82
mooyah burger,1,11,9.09%,2.18
fried pickles,1,11,9.09%,3.82
burger nash,1,11,9.09%,4.09
late night eats near me,1,11,9.09%,7.73
best takeout near me,1,11,9.09%,8.09
peri peri original silver spring,1,11,9.09%,8.82
best burger dc,1,11,9.09%,33.09
restaurants in warrenton va,1,11,9.09%,41.91
bugers near me,1,11,9.09%,64.09
mash nash,1,11,9.09%,67.09
nashed and smashed ellicott city,1,10,10%,1.2
mac and cheese restaurant,1,10,10%,1.6
restaurants near me fast food,1,10,10%,2
poutine near me,1,10,10%,3.4
steak and cheese near me,1,10,10%,5.1
burgers and wings near me,1,10,10%,5.7
lunch special near me,1,10,10%,5.8
food open thanksgiving,1,10,10%,6.4
sub shops near me,1,10,10%,6.4
chelmsford halal,1,10,10%,7.2
doordash restaurants near me,1,10,10%,7.9
delivery food delivery near me,1,10,10%,8.3
fast food in glen allen,1,10,10%,8.6
hash smash,1,10,10%,10.5
fried chicken silver spring,1,10,10%,12.3
peri peri chicken near me,1,10,10%,16.5
richmond restaurants,1,10,10%,19.2
henrico va restaurants,1,10,10%,19.5
good burgers near me now,1,10,10%,20.5
best fried chicken in washington dc,1,10,10%,31.9
new restaurants ellicott city,1,10,10%,32.2
burger delivery near me,1,9,11.11%,1.33
restaurants near innsbrook richmond va,1,9,11.11%,2.33
best onion rings near me,1,9,11.11%,2.89
baked potatoes near me,1,9,11.11%,3.22
norfolk fast food restaurants,1,9,11.11%,5.89
smash and hash,1,9,11.11%,6
food near virginia center commons,1,9,11.11%,6.89
hot chicken,1,9,11.11%,7.33
tenleytown restaurants,1,9,11.11%,7.33
13436 new hampshire ave,1,9,11.11%,7.44
food near me right now,1,9,11.11%,7.44
halal restaurants silver spring md,1,9,11.11%,9.11
soup near me,1,9,11.11%,9.89
odu restaurants,1,9,11.11%,10.44
best burgers maryland,1,9,11.11%,11.44
steak,1,9,11.11%,13.56
halal chicken sandwich,1,9,11.11%,14.22
smashes burger,1,9,11.11%,15.11
nearest burger place,1,9,11.11%,23.44
food near me short pump,1,8,12.50%,3.5
paratha burger,1,8,12.50%,4.62
wings,1,8,12.50%,4.88
what should i eat,1,8,12.50%,5.12
fast food in blacksburg va,1,8,12.50%,5.38
mushroom burger,1,8,12.50%,5.5
dash smash burger,1,8,12.50%,6.62
delivery food near me open now,1,8,12.50%,7
restaurants near chevy chase,1,8,12.50%,7
silver dash,1,8,12.50%,7.38
best restaurants friendship heights,1,8,12.50%,7.75
halal food newport news,1,8,12.50%,8.25
23060 restaurants,1,8,12.50%,8.62
new restaurants henrico va,1,8,12.50%,8.75
mashed potatoes,1,8,12.50%,10.12
turkey smash burgers near me,1,8,12.50%,10.5
best burgers rva,1,8,12.50%,11
fried fish near me,1,8,12.50%,11.25
halal restaurant in manassas va,1,8,12.50%,11.38
best soul food near me,1,8,12.50%,13
food near me richmond va,1,8,12.50%,21.38
best restaurants in chevy chase,1,8,12.50%,25.12
peri.peri original,1,7,14.29%,2
restaurants near the avalon theater dc,1,7,14.29%,2.29
hampton fast food,1,7,14.29%,2.43
fried oreos,1,7,14.29%,3.14
pickle fries,1,7,14.29%,3.29
best lunch short pump va,1,7,14.29%,3.43
non chain restaurants near me,1,7,14.29%,4.14
turkey burger,1,7,14.29%,4.14
smash bruger,1,7,14.29%,4.43
restaurants near dc zoo,1,7,14.29%,6.14
best waffles near me,1,7,14.29%,7
cheesesteak,1,7,14.29%,7.43
burgers reston,1,7,14.29%,13.14
burgers place near me,1,7,14.29%,18.57
fries near me open now,1,7,14.29%,20.14
new restaurants in ellicott city,1,7,14.29%,37.86
best buffalo tenders near me,1,7,14.29%,66.14
smash nash burger,1,6,16.67%,1.67
nation smash,1,6,16.67%,1.83
restaurants near va center commons,1,6,16.67%,3
best chicken and waffles near me,1,6,16.67%,3.5
food places.near me,1,6,16.67%,3.67
7th st burger baltimore,1,6,16.67%,3.83
lamb burger near me,1,6,16.67%,4
nearby fast food,1,6,16.67%,4
waffles and chicken,1,6,16.67%,5.33
halal restaurants in columbia md,1,6,16.67%,5.67
cooked turkey near me,1,6,16.67%,6.83
halal.burger near me,1,6,16.67%,7
nash tenders,1,6,16.67%,7.5
delivery soul food near me,1,6,16.67%,8.17
best fast food burger near me,1,6,16.67%,10
food near hampton,1,6,16.67%,10
colesville center,1,6,16.67%,12.67
fried zucchini near me,1,6,16.67%,13.83
restaurants 23666,1,6,16.67%,15.5
smashburger near me menu,1,6,16.67%,15.67
best fried food near me,1,6,16.67%,16.33
burger near me now,1,6,16.67%,28.33
sandwiches near me now,1,6,16.67%,43.5
glenn allen restaurants,1,5,20%,1
original peri peri,1,5,20%,1
smash burgees,1,5,20%,1
best burger spot near me,1,5,20%,2
restaurants near avalon theater,1,5,20%,2.2
nash and smash.,1,5,20%,2.4
places eat near me,1,5,20%,3
best mac n cheese near me,1,5,20%,3.4
fast food.,1,5,20%,4.6
highest rated restaurants near me,1,5,20%,5
"fast food norfolk, va",1,5,20%,5.6
alexandria smash burger,1,5,20%,6
halal sliders,1,5,20%,7.4
gunston plaza restaurants,1,5,20%,8
restaurants in abingdon maryland,1,5,20%,8
best butger near me,1,5,20%,8.2
zabiha halal restaurant near me,1,5,20%,8.8
smash butgers,1,5,20%,9
food four corners,1,5,20%,11.2
hala food near me,1,5,20%,11.8
halal delight,1,5,20%,12.6
new hamburger place near me,1,5,20%,13
restaurants near hampton coliseum va,1,5,20%,13.2
sweet near me,1,5,20%,13.8
burger places near me open now,1,5,20%,21.6
cheap halal food near me,1,5,20%,25
halal tenders near me,1,5,20%,25.4
restaurants open on christmas day 2025 near me,1,4,25%,1.5
cleveland park restaurants,1,4,25%,1.75
restaurants fast food,1,4,25%,1.75
turkey burgers,1,4,25%,1.75
fast food jobs near me,1,4,25%,2.25
lunch glen allen,1,4,25%,2.25
smash burget,1,4,25%,2.5
paratha burger near me,1,4,25%,2.75
fast food rock hill sc,1,4,25%,3.5
best lunch spot near me,1,4,25%,4.25
turkey and dressing near me,1,4,25%,4.25
best hamburger restaurant near me,1,4,25%,4.5
smash burger abingdon,1,4,25%,4.5
take out restaurants near me,1,4,25%,5
fried okra near me,1,4,25%,5.5
strawberry milkshake near me,1,4,25%,6.25
good waffles near me,1,4,25%,7
food nesr me,1,4,25%,7.5
white oak restaurants,1,4,25%,7.75
nashville burger halal,1,4,25%,8.5
food near me baltimore,1,4,25%,10.25
good restaurants,1,4,25%,10.25
"best burgers in richmond, va",1,4,25%,12.25
places to eat federal hill,1,4,25%,13
abingdon restaurants va,1,4,25%,17.5
smash patty burger,1,4,25%,28.75
restaurants in woodbridge ct,1,4,25%,31.75
restaurant manassas,1,4,25%,33.25
chicken bucket,1,4,25%,85.75
best hand cut fries near me,1,3,33.33%,1
mac and cheese burgers,1,3,33.33%,1
peri peri silver spring md,1,3,33.33%,1
places near me to eat open now,1,3,33.33%,1
best shakes near me,1,3,33.33%,1.33
burgers and milkshakes,1,3,33.33%,1.33
good fries near me,1,3,33.33%,1.33
food near american university,1,3,33.33%,1.67
big burgers near me,1,3,33.33%,2
fresh cut fries,1,3,33.33%,2
healthy burgers near me,1,3,33.33%,2.33
chili dogs near me,1,3,33.33%,2.67
fast food neat me,1,3,33.33%,3.67
smash it,1,3,33.33%,3.67
rotisserie chicken near me,1,3,33.33%,4
salmon burger near me,1,3,33.33%,4.67
fast food deals near me,1,3,33.33%,5
burger places in chelmsford,1,3,33.33%,5.67
halal food spots,1,3,33.33%,6.33
butger near me,1,3,33.33%,6.67
food places open late,1,3,33.33%,6.67
chili cheese burger,1,3,33.33%,7
restaurants dc,1,3,33.33%,7.33
halal food places near me open now,1,3,33.33%,8.67
plant based restaurants near me,1,3,33.33%,9.33
family meals to go near me,1,3,33.33%,9.67
norfolk food,1,3,33.33%,9.67
take out restaurant near me,1,3,33.33%,9.67
chicken and mashed potatoes near me,1,3,33.33%,10
charles street food,1,3,33.33%,10.67
restaurants at short pump,1,3,33.33%,11.33
hot honey chicken near me,1,3,33.33%,16.33
fried chicken rockville,1,3,33.33%,16.67
food in virginia,1,3,33.33%,19.33
delivery fried chicken near me,1,3,33.33%,26.33
best buffalo chicken sandwich near me,1,3,33.33%,28
chase herndon,1,3,33.33%,30.33
fast food wings near me,1,3,33.33%,31.33
food near me short pump va,1,3,33.33%,31.67
dinner in ellicott city,1,3,33.33%,49.33
air fried hamburgers,1,3,33.33%,107
american fare restaurants near me,1,2,50%,1
best burgers by me,1,2,50%,1
best onion rings,1,2,50%,1
best reuben near me,1,2,50%,1
curbside pickup near me food,1,2,50%,1
food special near me,1,2,50%,1
gluten-free fast food near me,1,2,50%,1
loaded cheese fries near me,1,2,50%,1
mew restaurants near me,1,2,50%,1
places to eat near me now current location,1,2,50%,1
plant based burger near me,1,2,50%,1
restaurant turkey burger,1,2,50%,1
restaurants in innsbrook virginia,1,2,50%,1
tater tots fast food near me,1,2,50%,1
what is there to eat near me,1,2,50%,1
good lunch food near me,1,2,50%,1.5
prime rib near me,1,2,50%,1.5
restaurants in northwest dc,1,2,50%,1.5
salmon blt,1,2,50%,1.5
togo food near me,1,2,50%,1.5
best mac and cheese washington,1,2,50%,2
